COMPLAINID	COMPLAINDATE	COMPLETIONDATE	LASTNAME	FIRSTNAME	GENDER	BROKERFULLNAME	COMMISSIONSCHEME	DESCRIPTION_CATEGORY	REGION	DESCRIPTION_STATUS	STATE	PRODUCT	DESCRIPTION_PRIORITIES	DESCRIPTION_SOURCE	DESCRIPTION_TYPE
9220	08-03-2018	14-03-2018	Henry	Foster	MALE	Billy Howell	Comm7	UPDATE REQUEST	Midwest	CLOSED	Michigan	CAS-077	Non Urgent	Partner	Email
9221	09-03-2018	03-04-2018	Fred	Coleman	MALE	Daniel Stone	Comm3	PAYMENT POLICY	West	CLOSED	Arizona	HOC-056	Non Urgent	Company HQ	Email
9222	09-03-2018	16-04-2018	Willie	Carr	MALE	Walter Young	Comm6	DISCLAIMER OF DISMISSAL	Midwest	CLOSED	Illinois	MOT-008	Non Urgent	Company HQ	Email
9223	12-03-2018	26-03-2018	William	Sanchez	MALE	Eugene Cox	No Commission	POOR SERVICE	West	CLOSED	California	CAS-013	Non Urgent	Company HQ	Written
9224	12-03-2018	13-03-2018	Robin	Jones	FEMALE	Stephen Welch	Comm5	POOR SERVICE	South	CLOSED	Texas	BMB-042	Non Urgent	Company HQ	Written
9225	13-03-2018	16-03-2018	Justin	Campbell	MALE	Aaron Stone	Bonus Based	BENEFICIARY MANAGEMENT REQUEST	South	CLOSED	Texas	CAS-014	Non Urgent	Company HQ	Email
9226	13-03-2018	19-03-2018	Emily	Moore	FEMALE	Henry Oliver	Bonus Based	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Texas	HOC-052	Non Urgent	Company HQ	Email
9227	13-03-2018	24-04-2018	Annie	Burke	FEMALE	Roger Ramos	Comm8	UPDATE REQUEST	West	CLOSED	Colorado	CAP-068	Non Urgent	Company HQ	Email
9228	13-03-2018	26-03-2018	Randy	Pierce	MALE	Peter Robinson	Comm5	REGISTRATION FORM OF REGISTRATION	West	CLOSED	California	BNM-030	Non Urgent	Company HQ	Email
9229	12-03-2018	14-03-2018	George	Stanley	MALE	Eric Collins	Comm4	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	BNM-073	Non Urgent	Company HQ	Email
9230	12-03-2018	14-03-2018	Norma	Howell	FEMALE	Phillip Fuller	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	HOC-052	Non Urgent	Company HQ	Email
9231	08-03-2018	14-03-2018	Jonathan	Simmons	MALE	Willie Williams	Comm2	CERTIFICATE OF CONTENTS	Midwest	CLOSED	Illinois	CAP-025	Non Urgent	Company HQ	Email
9232	12-03-2018	22-03-2018	Carol	Flores	FEMALE	Todd Hunter	Comm2	POOR SERVICE	Northeast	CLOSED	New Jersey	HHC-078	Non Urgent	Company HQ	Written
9233	12-03-2018	23-03-2018	Mark	Hughes	MALE	Ronald Murphy	No Commission	PERFORMANCE OR RESISTANCE TO PERSONAL DATA	South	CLOSED	Virginia	BNM-039	Non Urgent	Company HQ	Email
9234	14-03-2018	23-04-2018	Clarence	Snyder	MALE	Victor Day	No Commission	CERTIFICATE OF CONTENTS	South	CLOSED	Florida	MOT-011	Non Urgent	Company HQ	Email
9235	14-03-2018	16-03-2018	Sean	Wagner	MALE	Nicholas Carpenter	Comm2	CERTIFICATE OF CONTENTS	South	CLOSED	Florida	HOC-049	Non Urgent	Company HQ	Email
9236	14-03-2018	04-04-2018	Linda	Henry	FEMALE	Todd Hughes	Bonus Based	INDEPENDENT DISMISSAL	Northeast	CLOSED	New York	MOT-007	Non Urgent	Company HQ	Email
9237	15-03-2018	19-03-2018	Marilyn	Ramos	FEMALE	Thomas Porter	Comm3	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	North Carolina	BNM-033	Non Urgent	Company HQ	Email
9238	15-03-2018	15-03-2018	Heather	Alvarez	FEMALE	Raymond Nguyen	Comm8	POOR SERVICE	Northeast	CLOSED	New York	PNM-001	Non Urgent	Company HQ	Phone
9239	16-03-2018	21-03-2018	Robin	Larson	FEMALE	Johnny Snyder	Comm6	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	BNM-033	Non Urgent	Company HQ	Email
9240	16-03-2018	27-03-2018	Victor	Crawford	MALE	Keith Mcdonald	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	Oregon	HOC-064	Non Urgent	Company HQ	Email
9241	13-03-2018	20-03-2018	Ruth	Martin	FEMALE	Samuel Torres	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	California	MOT-007	Non Urgent	Bank Branch	In person
9242	16-03-2018	19-03-2018	Julie	Riley	FEMALE	Earl King	Comm7	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	Oregon	HOC-051	Non Urgent	Company HQ	Email
9243	16-03-2018	16-03-2018	Linda	Hughes	FEMALE	Aaron Collins	Bonus Based	UPDATE REQUEST	Midwest	CLOSED	Indiana	BNM-062	Non Urgent	CRO	Partner Or Bank
9244	15-03-2018	22-03-2018	Jose	Johnston	MALE	Joseph Alexander	Comm2	PAYMENT POLICY	Northeast	CLOSED	New Jersey	MMP-005	Non Urgent	Company HQ	Phone
9245	16-03-2018	27-03-2018	Benjamin	Evans	MALE	Todd Freeman	Comm5	SECURITY BUILDING REQUEST SECURITY RETURN	Northeast	CLOSED	Pennsylvania	HOC-055	Non Urgent	Company HQ	Email
9246	19-03-2018	21-03-2018	Mark	Fernandez	MALE	Thomas Sanders	Comm3	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	HHC-078	Non Urgent	Company HQ	Email
9247	16-03-2018	21-03-2018	Keith	Reid	MALE	Walter Berry	Comm6	POOR SERVICE	West	CLOSED	Utah	CAP-026	Non Urgent	Company HQ	Phone
9248	16-03-2018	16-04-2018	Robert	Lane	MALE	Henry Mills	Comm2	DETERMINATION OF ANSWER TO BLOOD QUESTION SOLIDARITY	Midwest	CLOSED	Indiana	CAS-075	Non Urgent	Company HQ	Email
9249	19-03-2018	04-05-2018	Judith	Ramirez	FEMALE	Earl Jordan	No Commission	UPDATE REQUEST	West	CLOSED	California	HOC-049	Non Urgent	Company HQ	Written
9250	19-03-2018	26-03-2018	Anne	Payne	FEMALE	Daniel Hunter	Comm8	PERFORMANCE OR RESISTANCE TO PERSONAL DATA	Midwest	CLOSED	Indiana	HOC-047	Non Urgent	Company HQ	Email
9251	20-03-2018	03-05-2018	Stephen	Lee	MALE	Robert Reed	Comm3	CERTIFICATE OF CONTENTS	Midwest	CLOSED	Kansas	HOC-051	Non Urgent	Company HQ	Email
9252	19-03-2018	21-05-2018	Ann	Frazier	FEMALE	Nicholas Carpenter	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Illinois	HOC-064	Non Urgent	Company HQ	Written
9253	21-03-2018	23-03-2018	Todd	Rose	MALE	Jimmy Hughes	Comm3	UPDATE REQUEST	South	CLOSED	Louisiana	HHC-063	Non Urgent	Company HQ	Fax
9254	20-03-2018	23-03-2018	Willie	Johnson	MALE	Justin Robinson	Comm3	RESEARCH REQUEST	Midwest	CLOSED	Illinois	CAS-013	Non Urgent	Company HQ	Written
9255	21-03-2018	27-03-2018	Donna	Parker	FEMALE	Jose Moore	Bonus Based	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	California	CAS-076	Non Urgent	Company HQ	Email
9256	11-03-2018	04-04-2018	Ashley	Spencer	FEMALE	Edward Gilbert	Comm2	UPDATE REQUEST	West	CLOSED	California	MOT-008	Non Urgent	Company HQ	Phone
9257	19-03-2018	21-03-2018	Beverly	Price	FEMALE	Roger Lopez	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	Northeast	CLOSED	New Jersey	LBL-043	Non Urgent	Company HQ	Email
9258	20-03-2018	27-03-2018	Edward	Garza	MALE	Scott Burns	Comm7	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Missouri	CAS-020	Non Urgent	Company HQ	Email
9259	21-03-2018	22-03-2018	Donald	Williamson	MALE	Ralph Hall	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	Northeast	CLOSED	Massachusetts	CAS-072	Non Urgent	Company HQ	Email
9260	21-03-2018	27-03-2018	Todd	Henry	MALE	Paul Moreno	Bonus Based	SECURITY CONTRACT MANAGEMENT REQUEST	South	CLOSED	North Carolina	CAP-068	Non Urgent	Company HQ	Email
9261	21-03-2018	21-03-2018	Jean	Graham	FEMALE	Aaron Wheeler	No Commission	UPDATE REQUEST	Northeast	CLOSED	Rhode Island	HOC-050	Non Urgent	CRO	Partner Or Bank
9262	22-03-2018	27-03-2018	Scott	Wells	MALE	Harry Ford	Comm2	CERTIFICATE OF CONTENTS	South	CLOSED	Texas	CAS-014	Non Urgent	Company HQ	Email
9263	22-03-2018	23-03-2018	Roy	Ross	MALE	Clarence Fox	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	South Carolina	CAS-066	Non Urgent	Company HQ	Email
9264	22-03-2018	23-03-2018	Roger	Mills	MALE	Jesse Williamson	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Texas	CAS-017	Non Urgent	Company HQ	Email
9265	22-03-2018	27-03-2018	Ruby	Moreno	FEMALE	Paul Hart	Comm6	CERTIFICATE OF CONTENTS	Midwest	CLOSED	Indiana	BNM-036	Non Urgent	Company HQ	Email
9266	09-02-2018	27-02-2018	Jane	Pierce	FEMALE	Henry Rose	Comm4	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Maryland	CAS-022	Non Urgent	Company HQ	Written
9267	22-03-2018	02-05-2018	Brian	Lawson	MALE	David Burns	Comm8	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Florida	MMP-005	Non Urgent	Company HQ	Written
9268	22-03-2018	08-05-2018	Joshua	Wells	MALE	Jeffrey Jenkins	Comm8	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Georgia	CAS-019	Non Urgent	Company HQ	Written
9269	22-03-2018	23-03-2018	Marie	Patterson	FEMALE	Justin Lynch	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Georgia	HOC-049	Non Urgent	Company HQ	Written
9270	22-03-2018	18-04-2018	Jason	Hart	MALE	Keith Howell	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	Oregon	CAP-026	Non Urgent	Company HQ	Written
9271	13-03-2018	12-04-2018	Howard	Young	MALE	Sean Montgomery	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Florida	LBL-043	Non Urgent	Company HQ	Written
9272	14-03-2018	24-04-2018	Steve	Wallace	MALE	Patrick Harrison	Bonus Based	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	California	PNM-003	Non Urgent	Company HQ	Written
9273	22-03-2018	07-05-2018	Timothy	Ray	MALE	Louis Burton	Bonus Based	POWER FOR PRESENTATION OR WRONG	South	CLOSED	Kentucky	HOC-052	Non Urgent	Company HQ	Court Order
9274	22-03-2018	26-03-2018	Alice	Phillips	FEMALE	Phillip Foster	Comm2	UPDATE REQUEST	West	CLOSED	Colorado	CAS-020	Non Urgent	Company HQ	Email
9275	23-03-2018	29-03-2018	Jessica	Simmons	FEMALE	Justin Gardner	Comm7	UPDATE REQUEST	Northeast	CLOSED	New York	CAP-069	Non Urgent	Company HQ	Email
9276	23-03-2018	29-03-2018	Nicholas	Hudson	MALE	Willie Sullivan	Comm8	UPDATE REQUEST	Midwest	CLOSED	Illinois	PNM-001	Non Urgent	Company HQ	Email
9277	23-03-2018	29-03-2018	Adam	Ryan	MALE	Russell Burns	Comm2	UPDATE REQUEST	Midwest	CLOSED	Indiana	MOT-009	Non Urgent	Company HQ	Fax
9278	23-03-2018	23-03-2018	Chris	Sullivan	MALE	Gary Foster	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Tennessee	MOT-007	Non Urgent	Company HQ	Email
9279	23-03-2018	27-03-2018	Sharon	Franklin	FEMALE	Jerry Perry	Comm5	YOU HAVE ALWAYS BEEN REQUESTED	Northeast	CLOSED	New Jersey	CAS-021	Non Urgent	Company HQ	Email
9280	23-03-2018	29-03-2018	China Group			George Perez	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Kentucky	BNM-041	Non Urgent	Company HQ	Email
9281	23-03-2018	23-03-2018	Jean	Patterson	FEMALE	Aaron Turner	Comm4	UPDATE REQUEST	Northeast	CLOSED	Connecticut	HOC-053	Non Urgent	Company HQ	Email
9282	23-03-2018	27-03-2018	Kathleen	Lynch	FEMALE	Billy Brooks	No Commission	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	MOT-010	Non Urgent	Company HQ	Email
9283	26-03-2018	13-04-2018	Carl	Kelley	MALE	George Henderson	No Commission	POOR SERVICE	South	CLOSED	Texas	MMP-004	Non Urgent	Company HQ	Email
9284	16-03-2018	26-03-2018	Sara	Tucker	FEMALE	Joshua Garrett	Comm4	CERTIFICATE OF CONTENTS	Midwest	CLOSED	Kansas	HOC-056	Non Urgent	Company HQ	Email
9285	26-03-2018	27-03-2018	Richard	Hamilton	MALE	Joshua Wagner	Comm3	SECURITY CONTRACT MANAGEMENT REQUEST	Northeast	CLOSED	New York	CAP-070	Non Urgent	Company HQ	Email
9286	26-03-2018	29-03-2018	Adam	Elliott	MALE	Henry Oliver	Bonus Based	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Texas	BNM-039	Non Urgent	Company HQ	Email
9287	26-03-2018	28-03-2018	Phillip	Moreno	MALE	Gerald Nelson	Comm4	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	California	CAS-019	Non Urgent	Company HQ	Email
9288	26-03-2018	05-04-2018	Shirley	Lawrence	FEMALE	Gary Franklin	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Georgia	BNM-038	Non Urgent	Company HQ	Email
9289	27-03-2018	04-04-2018	Robin	Cole	FEMALE	Adam Dunn	Bonus Based	CERTIFICATE OF CONTENTS	South	CLOSED	Georgia	HOC-056	Non Urgent	Company HQ	Email
9290	20-03-2018	18-04-2018	Stephen	King	MALE	Ronald Perez	Comm7	SECURITY BUILDING REQUEST SECURITY RETURN	West	CLOSED	Colorado	HHC-057	Non Urgent	Company HQ	Written
9291	27-03-2018	05-04-2018	Barbara	Schmidt	FEMALE	Ronald Murphy	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Wisconsin	BNM-040	Non Urgent	Company HQ	Email
9292	27-03-2018	05-04-2018	Lillian	Fuller	FEMALE	Douglas Jordan	Bonus Based	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Florida	CAS-075	Non Urgent	Company HQ	Email
9293	27-03-2018	14-05-2018	Gary	Thomas	MALE	Aaron Turner	Comm4	POOR INFORMATION BEFORE OR WITH THE SALE	Midwest	CLOSED	Missouri	HHC-057	Non Urgent	Company HQ	Written
9294	27-03-2018	14-05-2018	Nicholas	Rivera	MALE	Martin Ellis	No Commission	POOR INFORMATION BEFORE OR WITH THE SALE	Northeast	CLOSED	New Jersey	HOC-064	Non Urgent	Company HQ	Written
9295	29-03-2018	05-04-2018	William	Lane	MALE	Ryan Reid	Comm7	YOU HAVE ALWAYS BEEN REQUESTED	Northeast	CLOSED	New Jersey	CAS-022	Non Urgent	Company HQ	Email
9296	29-03-2018	04-04-2018	Debra	Frazier	FEMALE	Jonathan Dixon	Bonus Based	BENEFICIARY MANAGEMENT REQUEST	Northeast	CLOSED	New York	BNM-073	Non Urgent	Company HQ	Email
9297	29-03-2018	03-04-2018	Beverly	Wood	FEMALE	Paul Gardner	Comm6	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Indiana	CAS-018	Non Urgent	Company HQ	Email
9298	29-03-2018	03-04-2018	Virginia	Murphy	FEMALE	Arthur Griffin	Comm9	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Texas	CAP-024	Non Urgent	Company HQ	Email
9299	29-03-2018	05-04-2018	Cynthia	Bradley	FEMALE	Larry Schmidt	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Texas	MOT-008	Non Urgent	Company HQ	Email
9300	29-03-2018	05-04-2018	Larry	Elliott	MALE	Todd Lane	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Illinois	HOC-064	Non Urgent	Company HQ	Email
9301	30-03-2018	05-04-2018	Brandon	George	MALE	Robert Reed	Comm3	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Illinois	CAS-066	Non Urgent	Company HQ	Email
9302	27-03-2018	30-03-2018	Christina	Sanders	FEMALE	Phillip Lee	Comm8	UPDATE REQUEST	Midwest	CLOSED	Indiana	CAP-069	Non Urgent	Company HQ	Email
9303	22-03-2018	24-04-2018	Mildred	Welch	FEMALE	Jack Wallace	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Florida	CAP-024	Non Urgent	Company HQ	Written
9304	30-03-2018	03-04-2018	Walter	Hudson	MALE	Henry Smith	Comm8	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Missouri	HOC-050	Non Urgent	Company HQ	Written
9305	30-03-2018	12-04-2018	Donald	Miller	MALE	Christopher Harper	Comm4	SECURITY CONTRACT MANAGEMENT REQUEST	South	CLOSED	Alabama	CAP-024	Non Urgent	Company HQ	Email
9306	27-03-2018	30-03-2018	Judy	Burns	FEMALE	Henry Smith	Comm8	UPDATE REQUEST	South	CLOSED	North Carolina	CAS-076	Non Urgent	Company HQ	Written
9307	02-04-2018	02-04-2018	Anne	Sanchez	FEMALE	Russell Burns	Comm2	UPDATE REQUEST	Midwest	CLOSED	Illinois	CAS-072	Non Urgent	Bank Branch	In person
9308	02-04-2018	12-04-2018	Julia	Sanders	FEMALE	Gary Franklin	No Commission	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	Oregon	BNM-032	Non Urgent	Company HQ	Email
9309	02-04-2018	04-04-2018	Martha	Mitchell	FEMALE	Roger Ramos	Comm8	UPDATE REQUEST	South	CLOSED	Texas	BNM-031	Non Urgent	Company HQ	Written
9310	02-04-2018	12-04-2018	Melissa	Kennedy	FEMALE	Adam Baker	No Commission	SECURITY CONTRACT MANAGEMENT REQUEST	South	CLOSED	Texas	HOC-056	Non Urgent	Company HQ	Email
9311	30-03-2018	10-05-2018	Victor	Dixon	MALE	John Howard	No Commission	POWER FOR PRESENTATION OR WRONG	Midwest	CLOSED	Illinois	OOT-061	Non Urgent	Bank Branch	Written
9312	02-04-2018	12-04-2018	Anthony	Murphy	MALE	Joseph Brooks	Bonus Based	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	California	HOC-052	Non Urgent	Company HQ	Email
9313	02-04-2018	03-04-2018	Robin	Moreno	FEMALE	Thomas Meyer	Bonus Based	APPLICATION REQUEST	Northeast	CLOSED	Connecticut	CAS-022	Non Urgent	Company HQ	Fax
9314	02-04-2018	24-04-2018	Janice	Nelson	FEMALE	Jeffrey Murray	Comm2	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Minnesota	CAS-019	Non Urgent	Company HQ	Written
9315	02-04-2018	05-04-2018	Ernest	Cunningham	MALE	Ralph White	No Commission	APPLICATION REQUEST	Northeast	CLOSED	Massachusetts	BNM-073	Non Urgent	Company HQ	Email
9316	02-04-2018	11-04-2018	Jimmy	Ford	MALE	Eric Collins	Comm4	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Minnesota	CAP-028	Non Urgent	Company HQ	Email
9317	02-04-2018	11-04-2018	Jonathan	Howell	MALE	Larry Castillo	Comm9	YOU HAVE ALWAYS BEEN REQUESTED	South	CLOSED	Tennessee	HHC-078	Non Urgent	Company HQ	Email
9318	02-04-2018	11-04-2018	Phillip	Fox	MALE	Henry Mills	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	California	HHC-078	Non Urgent	Company HQ	Email
9319	02-04-2018	18-04-2018	Nicole	Price	FEMALE	Albert Taylor	Comm7	POOR SERVICE	West	CLOSED	Colorado	CAS-021	Non Urgent	CRO	Written
9320	02-04-2018	03-04-2018	Paul	Murray	MALE	Ernest Wheeler	Comm3	UPDATE REQUEST	South	CLOSED	Texas	CAP-068	Non Urgent	Company HQ	Email
9321	28-03-2018	19-04-2018	Heather	Harper	FEMALE	Albert Harvey	Comm7	SOME DECISION	Midwest	CLOSED	Indiana	CAS-016	Non Urgent	Company HQ	Email
9322	03-04-2018	08-05-2018	Adam	Willis	MALE	George Henderson	No Commission	POOR SERVICE	West	CLOSED	California	BNM-041	Non Urgent	Company HQ	Email
9323	03-04-2018	23-04-2018	Andrea	Woods	FEMALE	Stephen Stevens	Comm2	UPDATE REQUEST	South	CLOSED	Texas	BNM-034	Non Urgent	Company HQ	Email
9324	03-04-2018	03-05-2018	Julie	Armstrong	FEMALE	Brian Thomas	Comm7	BENEFICIARY MANAGEMENT REQUEST	South	CLOSED	Florida	CAP-026	Non Urgent	Company HQ	Email
9325	03-04-2018	21-05-2018	Raymond	Wood	MALE	Benjamin Reid	Bonus Based	UPDATE REQUEST	West	CLOSED	California	CAS-018	Non Urgent	Company HQ	Email
9326	03-04-2018	11-04-2018	Carlos	Gutierrez	MALE	Paul Bryant	Comm2	UPDATE REQUEST	Northeast	CLOSED	New York	BNM-035	Non Urgent	Company HQ	Email
9327	03-04-2018	24-04-2018	Shawn	Woods	MALE	George Wallace	Comm7	UPDATE REQUEST	Midwest	CLOSED	Indiana	BNM-073	Non Urgent	Company HQ	Email
9328	03-04-2018	11-04-2018	Stephen	Weaver	MALE	Bobby Lane	Comm7	CERTIFICATE OF CONTENTS	Midwest	CLOSED	Illinois	CAS-022	Non Urgent	Company HQ	Email
9329	29-03-2018	05-04-2018	Steve	Mendoza	MALE	Clarence Wagner	Comm7	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Indiana	CAP-024	Non Urgent	Bank Branch	In person
9330	03-04-2018	18-04-2018	David	Wright	MALE	Nicholas Hansen	Bonus Based	POWER FOR PRESENTATION OR WRONG	West	CLOSED	California	HOC-048	Non Urgent	Company HQ	Email
9331	04-04-2018	11-04-2018	Jason	Davis	MALE	Ronald Crawford	Comm2	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Michigan	BNM-041	Non Urgent	Company HQ	Email
9332	04-04-2018	04-04-2018	Cheryl	King	FEMALE	Jimmy Hart	Comm2	UPDATE REQUEST	Midwest	CLOSED	Kansas	BNM-035	Non Urgent	Company HQ	Email
9333	02-04-2018	12-04-2018	Gerald	Watkins	MALE	Lawrence Stevens	Comm2	POOR INFORMATION BEFORE OR WITH THE SALE	West	CLOSED	Washington	MOT-009	Non Urgent	Company HQ	Email
9334	12-04-2018	24-04-2018	Gloria	Young	FEMALE	Justin Robinson	Comm3	POOR SERVICE	Midwest	CLOSED	Michigan	LBL-043	Non Urgent	Company HQ	Email
9335	03-04-2018	18-04-2018	Shirley	Foster	FEMALE	Shawn George	Comm9	SECURITY BUILDING REQUEST SECURITY RETURN	Midwest	CLOSED	Illinois	LBL-074	Non Urgent	Company HQ	Email
9336	05-04-2018	11-04-2018	Marie	Crawford	FEMALE	Ronald Lane	Bonus Based	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	California	HHC-063	Non Urgent	Company HQ	Email
9337	05-04-2018	05-04-2018	Marilyn	Weaver	FEMALE	Samuel Wilson	Comm7	SECURITY BUILDING REQUEST SECURITY RETURN	South	CLOSED	Florida	BNM-040	Non Urgent	CRO	Partner Or Bank
9338	10-04-2018	11-04-2018	Norma	Marshall	FEMALE	Aaron Collins	Bonus Based	CERTIFICATE OF CONTENTS	West	CLOSED	Nevada	CAS-015	Non Urgent	Company HQ	Email
9339	10-04-2018	11-04-2018	Frank	Hughes	MALE	Nicholas Clark	Comm5	CERTIFICATE OF CONTENTS	Northeast	CLOSED	Pennsylvania	HOC-052	Non Urgent	Company HQ	Email
9340	10-04-2018	11-04-2018	Craig	Clark	MALE	Terry Thomas	Bonus Based	UPDATE REQUEST	West	CLOSED	California	CAS-072	Non Urgent	Company HQ	Email
9341	10-04-2018	12-04-2018	Doris	George	FEMALE	Larry Walker	Comm2	UPDATE REQUEST	Midwest	CLOSED	Ohio	HOC-048	Non Urgent	Company HQ	Email
9342	11-04-2018	11-04-2018	Frank	Phillips	MALE	Johnny Little	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	Utah	CAS-066	Non Urgent	Company HQ	Email
9343	11-04-2018	12-04-2018	Frank	Riley	MALE	Walter Stewart	Comm4	YOU HAVE ALWAYS BEEN REQUESTED	Northeast	CLOSED	New York	MOT-010	Non Urgent	Company HQ	Email
9344	12-04-2018	16-04-2018	Angela	Armstrong	FEMALE	Jeffrey Martinez	Bonus Based	SECURITY CONTRACT MANAGEMENT REQUEST	Midwest	CLOSED	Indiana	BMB-042	Non Urgent	Company HQ	Email
9345	12-04-2018	07-05-2018	Julia	Lee	FEMALE	David Hunter	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	Midwest	CLOSED	Michigan	CAS-077	Non Urgent	Company HQ	Email
9346	12-04-2018	16-04-2018	Sunway Corp			Ryan Gardner	No Commission	SECURITY CONTRACT MANAGEMENT REQUEST	West	CLOSED	Idaho	CAP-027	Non Urgent	Company HQ	Email
9347	12-04-2018	12-04-2018	Todd	Carroll	MALE	Scott Berry	Comm2	CERTIFICATE OF CONTENTS	West	CLOSED	California	MOT-009	Non Urgent	Company HQ	Email
9348	13-04-2018	16-04-2018	Nicole	Peters	FEMALE	Eric Nguyen	Comm2	SECURITY CONTRACT MANAGEMENT REQUEST	Midwest	CLOSED	Illinois	BNM-032	Non Urgent	Company HQ	Email
9349	16-04-2018	26-04-2018	Bruce	Alexander	MALE	Fred Phillips	No Commission	UPDATE REQUEST	Midwest	CLOSED	Indiana	CAS-014	Non Urgent	Company HQ	Email
9350	17-04-2018	02-05-2018	Frances	Richards	FEMALE	Joshua Ellis	Comm4	UPDATE REQUEST	Northeast	CLOSED	New York	LBL-043	Non Urgent	CRO	Partner Or Bank
9351	17-04-2018	25-04-2018	Eric	Patterson	MALE	Roy Perez	No Commission	YOU HAVE ALWAYS BEEN REQUESTED	West	CLOSED	California	CAP-027	Non Urgent	Company HQ	Email
9352	13-04-2018	27-04-2018	Kenneth	Ruiz	MALE	Charles Martinez	Bonus Based	UPDATE REQUEST	West	CLOSED	Idaho	CAP-028	Non Urgent	Company HQ	Written
9353	17-04-2018	07-05-2018	Joan	Dean	FEMALE	Adam Baker	No Commission	DIFFERENCES IN PRICE POLITICS	West	CLOSED	Colorado	BMB-042	Non Urgent	Company HQ	Email
9354	17-04-2018	25-04-2018	Rachel	Vasquez	FEMALE	Randy Alexander	No Commission	CERTIFICATE OF CONTENTS	South	CLOSED	Georgia	PNM-003	Non Urgent	Company HQ	Email
9355	17-04-2018	24-04-2018	Earl	Duncan	MALE	Sean Montgomery	Comm2	CERTIFICATE OF CONTENTS	West	CLOSED	Idaho	BNM-035	Non Urgent	Company HQ	Email
9356	17-04-2018	24-04-2018	Harry	Bryant	MALE	Jason Palmer	Comm2	CERTIFICATE OF CONTENTS	West	CLOSED	Washington	HOC-049	Non Urgent	Company HQ	Email
9357	17-04-2018	25-04-2018	Terry	Palmer	MALE	Jack Dean	Comm9	YOU HAVE ALWAYS BEEN REQUESTED	Northeast	CLOSED	Pennsylvania	CAS-014	Non Urgent	Company HQ	Email
9358	17-04-2018	25-04-2018	Keith	Reed	MALE	Nicholas Clark	Comm5	YOU HAVE ALWAYS BEEN REQUESTED	Midwest	CLOSED	Nebraska	PNM-002	Non Urgent	Company HQ	Email
